"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","zeu","sp_nome","latitude","longitude","gi_df"
"980.000",8099,121,3,1,4,2,"condominio itapema","rua paulistania, 520 . vila madalena",1974,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"PINHEIROS",-23.5484138,-46.6899094,0
"675.000",7758,87,3,1,3,0,"condominio amplavisao","rua paulistania, 28 . vila madalena",1979,3,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,"PINHEIROS",-23.5453331,-46.6932458,0
"1.183.600",11.836,100,3,1,3,2,"condominio villa arie","rua joao moura, 2381 . vila madalena",1992,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5486319,-46.6883613,0
"1.463.085",11.083,132,2,1,NA,3,"condominio luis drumont","rua natingui, 113 . vila madalena",2000,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,"PINHEIROS",-23.5480222,-46.6949275,0
"430.000",17.916,24,1,0,1,0,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"900.000",9574,94,2,0,1,1,"condominio sumarezinho","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.150.000",8778,131,3,0,2,1,"condominio . sao barnabe","rua oscar freire, 2595 . vila madalena",1954,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,"PINHEIROS",-23.5508447,-46.6790978,0
"1.190.000",12.526,95,3,1,3,1,"condominio solar de castela","rua isabel de castela, 321 . vila madalena",1982,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"PINHEIROS",-23.5527554,-46.6988716,0
"800.000",7619,105,2,1,3,1,"condominio monte olimpo","rua heitor penteado, 1683 . vila madalena",1973,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5443662,-46.6940818,0
"850.000",11.333,75,1,0,2,2,"condominio tahiti","rua pascoal vita, 391 . vila madalena",1981,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5521232,-46.6981733,0
"1.100.000",15.492,71,1,1,2,1,"condominio soulmada","rua fidalga, 145 . vila madalena",2013,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5580989,-46.6889701,0
